,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
24,24,Borrowdale Brooke - House,"$2,300,000",4 bedrooms,4 bathrooms,3605 m²,harare north
25,25,Ruwa - House,"$50,000",6 bedrooms,2 bathrooms,600 m²,ruwa
26,26,Famona - Townhouse Complex,"$175,000",3 bedrooms,not stated,1 m²,bulawayo south
27,27,Twinlakes - House,"$115,000",4 bedrooms,2 bathrooms,3800 m²,norton
28,28,Eastlea - House,"$295,000",3 bedrooms,1 bathrooms,2404 m²,harare east
29,29,Borrowdale - House,"$1,050,000",5 bedrooms,not stated,4316 m²,harare north
30,30,Msasa Park - House,"$55,000",2 bedrooms,not stated,400 m²,harare south
31,31,Rolf Valley - House,"$3,000,000",3 bedrooms,2 bathrooms,31970 m²,harare north
32,32,Newlands - House,"$1,800,000",9 bedrooms,11 bathrooms,5256 m²,harare north
33,33,Glen Lorne - House,"$360,000",4 bedrooms,3 bathrooms,4000 m²,harare north
34,34,Glen Lorne - House,"$960,000",9 bedrooms,8 bathrooms,30451 m²,harare north
35,35,Highfield - House,"$25,000",not stated,not stated,220 m²,harare high density
36,36,Bluff Hill - House,"$84,000",3 bedrooms,1 bathrooms,858 m²,harare west
37,37,Marlborough - House,"$95,000",2 bedrooms,not stated,2002 m²,harare west
38,38,Marlborough - House,"$350,000",5 bedrooms,2 bathrooms,6000 m²,harare west
39,39,Gletwin Park - House,"$298,000",5 bedrooms,3 bathrooms,3500 m²,harare north
40,40,Christon Bank - House,"$570,000",4 bedrooms,2 bathrooms,20234 m²,christon bank
41,41,Borrowdale - House,"$785,000",8 bedrooms,8 bathrooms,4046 m²,harare north
42,42,Prospect - House,"$100,000",4 bedrooms,2 bathrooms,644 m²,harare south
43,43,Charlotte Brooke - House,"$100,000",5 bedrooms,not stated,1200 m²,harare north
44,44,Woodlands - House,"$160,000",4 bedrooms,1 bathrooms,2585 m²,bulawayo east
45,45,Glen Forest - House,"$550,000",4 bedrooms,2 bathrooms,68340 m²,harare north
46,46,Philadelphia - House,"$895,000",6 bedrooms,8 bathrooms,7342 m²,harare north
47,47,Avondale - House,"$1,400,000",4 bedrooms,4 bathrooms,5000 m²,harare north
48,48,Ruwa - House,"$70,000",4 bedrooms,3 bathrooms,413 m²,ruwa
49,49,Borrowdale Brooke - House,"$320,000",2 bedrooms,1 bathrooms,6700 m²,harare north
50,50,Greystone Park - House,"$600,000",5 bedrooms,not stated,4047 m²,harare north
51,51,Kariba - House,"$200,000",4 bedrooms,2 bathrooms,1641 m²,kariba
52,52,Marlborough - House,"$350,000",4 bedrooms,2 bathrooms,6000 m²,harare west
53,53,Mbizo - House,"$35,000",3 bedrooms,1 bathrooms,575 m²,kwekwe
54,54,Christon Bank - House,"$375,000",4 bedrooms,3 bathrooms,1 m²,christon bank
55,55,Quinnington - Townhouse Complex,"$370,000",3 bedrooms,not stated,850 m²,harare north
56,56,Belvedere - House,"$195,000",4 bedrooms,not stated,1400 m²,harare west
57,57,Marimba Park - Cottage,"$55,000",2 bedrooms,1 bathrooms,1000 m²,harare high density
58,58,Avondale West - House,"$195,000",3 bedrooms,2 bathrooms,1400 m²,harare west
59,59,Colne Valley - Townhouse Complex,"$345,000",3 bedrooms,2 bathrooms,800 m²,harare north
60,60,Mount Pleasant Heights - House,"$320,000",6 bedrooms,3 bathrooms,2000 m²,harare north
61,61,Glen View - House,"$40,000",4 bedrooms,1 bathrooms,200 m²,harare high density
62,62,Tynwald - House,"$85,000",3 bedrooms,not stated,400 m²,harare west
63,63,Hillside - House,"$200,000",5 bedrooms,3 bathrooms,1401 m²,harare south
64,64,Marlborough - House,"$350,000",4 bedrooms,not stated,4000 m²,harare west
65,65,Marondera - House,"$120,000",2 bedrooms,not stated,2200 m²,marondera
66,66,Quinnington - Townhouse Complex,"$370,000",3 bedrooms,2 bathrooms,850 m²,harare north
67,67,Ilanda - House,"$140,000",3 bedrooms,2 bathrooms,1669 m²,bulawayo east
68,68,Greendale - Townhouse Complex,"$145,000",3 bedrooms,2 bathrooms,4000 m²,harare east
69,69,Highlands - House,"$500,000",4 bedrooms,2 bathrooms,4493 m²,harare north
70,70,Zimre Park - House,"$90,000",3 bedrooms,2 bathrooms,485 m²,harare east
71,71,Glen View - House,"$35,000",4 bedrooms,1 bathrooms,300 m²,harare high density
